unitId,总数,标题,经度,维度,地址,信息,原价,现价,城市,区域,整套,布局,评分,点评
15815780,36942,【东南西北】机麻房嘉州地铁洪崖洞豪华两居,106.523846,29.597093,龙华大道107号财信城市国际6栋,近嘉州路地铁站,254,193,重庆,渝北区,整套,2居2床4人,5.0,29
8296310,36942,观洪崖洞夜景房,106.5664899746576,29.576432780180596,鎏嘉码头(珠江豪生酒店公寓17−20层),近大溪沟地铁站,380,304,重庆,江北区,整套,1居1床2人,5.0,16
21155275,36942,【暖-子陌】近解放碑洪崖洞长江索道,106.57939999999995,29.559874023095578,日月光中心广场,近较场口地铁站,205,189,重庆,渝中区,整套,1居1床2人,5.0,7
10895823,36942,羽沫恋景☆工业风 全江景洪崖洞解放碑2居,106.571458,29.578775, 北城路51号(珠江太阳城A区),近江北城地铁站,698,629,重庆,江北区,整套,2居2床4人,5.0,172
11767225,36942,『A』解放碑洪崖洞江景落地窗投影【积木】,106.60413242752594,29.56990484718767, 慈云路,近上新街地铁站,473,426,重庆,南岸区,整套,1居1床2人,4.9,57
14560498,36942,【神秘花园】磁器口旁近轻轨绿萝姑娘童话镇,106.462327,29.584673,金沙正街国富沙磁巷B区,近磁器口地铁站,252,187,重庆,沙坪坝区,整套,2居2床4人,4.9,27
22542024,36942,旅宿.三峡广场步行街.轻奢大一居,106.4679041114524,29.564549486441642,渝碚路街道 渝碚路50-13号,近沙坪坝地铁站,178,152,重庆,沙坪坝区,整套,1居1床2人,0.0,0
10213092,36942,【柠檬黄】临观音桥近轻轨影院loft一居,106.534467,29.594485,红金街37号龙湖佰乐街3栋,近红旗河沟地铁站,299,237,重庆,渝北区,整套,1居1床2人,5.0,43
11766238,36942,『B』近解放碑洪崖洞江景投影【积木民宿】,106.60419508126124,29.5695027585328, 慈云路,近上新街地铁站,382,345,重庆,南岸区,整套,1居1床2人,5.0,37
17300067,36942,@北滨路上舒适三房+地铁10号线鲤鱼池站,106.563829,29.579491,融景城臻苑(北滨路鎏嘉码头附近，融景城臻苑东门),近鲤鱼池地铁站,378,342,重庆,江北区,整套,3居3床4人,5.0,2
10032107,36942,倾3/楼下就洪崖洞/江景浴缸/6米落地窗,106.59036262810726,29.56827781375212,东和湾,近小什字地铁站,498,449,重庆,渝中区,整套,1居1床2人,4.9,56
12923177,36942,【柒栖】洪崖洞解放碑落地窗江景轻奢大床房,106.56135299999995,29.572256010426553,里面,近大溪沟地铁站,9999,9800,重庆,渝中区,整套,1居1床2人,5.0,55
11652495,36942,『E』解放碑洪崖洞江景落地窗投影【积木】,106.60403404025467,29.569524231648103, 慈云路,近上新街地铁站,466,420,重庆,南岸区,整套,1居1床2人,5.0,63
10064860,36942,【归·吾乡】270度揽江影音豪华江景套房,106.565203,29.577444,重庆珠江豪生酒店(北滨一路196号),近大溪沟地铁站,818,778,重庆,江北区,,2居1床2人,5.0,5
11686634,36942,【Sunshine】北欧LOFT良品一居,106.498703,29.534457,科园四路170号龙湖新壹城1号楼,近石桥铺地铁站,192,150,重庆,九龙坡区,整套,1居1床2人,5.0,29
11249197,36942,解放碑商圈近洪崖洞全江景投影超大浴缸一室,106.5790808725742,29.560318533725702,解放碑1号,近较场口地铁站,593,593,重庆,渝中区,整套,1居1床2人,5.0,49
11197075,36942,【致远】南滨路大阳台江景近解放碑品质二居,106.600705,29.578599,涂山南滨路阳光100国际新城A1-2号楼,近涂山地铁站,263,206,重庆,南岸区,整套,2居2床4人,5.0,51
9386154,36942,【归·吾乡】洪崖洞江景影院套房,106.565203,29.577444,重庆珠江豪生酒店(北滨一路),近大溪沟地铁站,768,730,重庆,江北区,,2居1床2人,5.0,2
9677382,36942,【木子屋】红旗河沟轻轨解放碑loft复式,106.534467,29.594513122825273,红金街37号龙湖佰乐街2栋,近红旗河沟地铁站,299,234,重庆,渝北区,整套,1居1床2人,4.8,65
11561964,36942,【漫时光】解放碑协信公馆近洪崖洞长江索道,106.573525,29.566571,胜利路132号协信公馆4号楼,近黄花园地铁站,202,152,重庆,渝中区,整套,1居1床2人,5.0,50
17002448,36942,【山城小家】南滨路解放碑loft温馨小屋,106.593722,29.58608,太长路68号长嘉汇soho1栋,近涂山地铁站,212,166,重庆,南岸区,整套,1居1床2人,4.8,21
14924225,36942,遇见名宿3,106.29675838316827,29.61485164230024,龙湖U城(一组团一栋),近尖顶坡地铁站,128,122,重庆,沙坪坝区,整套,1居1床2人,5.0,1
14295821,36942,大学城.龙湖U城.近熙街美院投影仪尖顶坡,106.29982499162652,29.614915137452556,大学城西路(龙湖U城),近尖顶坡地铁站,127,115,重庆,沙坪坝区,整套,1居1床2人,4.8,18
9929949,36942,【花季】解放碑洪崖洞长嘉汇loft大两居,106.593722,29.58608,泰昌路68号长嘉汇SOHO1栋,近涂山地铁站,247,188,重庆,南岸区,整套,2居2床3人,5.0,65
21671105,36942,【江景】直面来福士解放碑洪崖洞大三居,106.604503,29.574152,聚丰·江山天下,近涂山地铁站,415,316,重庆,南岸区,整套,3居3床6人,5.0,8
14159482,36942,清新日式loft公寓/投影仪长租可咨询,106.498403,29.534895,龙湖新壹城,近石桥铺地铁站,288,231,重庆,九龙坡区,整套,1居1床2人,5.0,23
18799390,36942,【轻颤】地铁洪崖洞ins情侣/闺蜜大床房,106.57551,29.555666,滨江壹号,近较场口地铁站,278,217,重庆,渝中区,整套,1居1床2人,5.0,14
15867230,36942,北滨路鎏嘉码头江景房·近解放碑·洪崖洞,106.56530231549117,29.577179592291877,重庆珠江豪生酒店,近大溪沟地铁站,380,342,重庆,江北区,整套,1居1床2人,0.0,0
13603920,36942,【午·后】落地窗江景近解放碑轻奢大两居,106.595106,29.550881,南滨路80号东原1891A馆7栋,近海棠溪地铁站,467,355,重庆,南岸区,整套,2居2床4人,4.9,63
